"siteID","date","Year","Month","Tmin","Tmax","Tavg","P"
"Bosque Humedo","1960-01-01",1960,1,21,30,25.5,3.70000004768372
"Cacao Arenales","1960-01-01",1960,1,17,26,21.5,53
"Cacao Sendero Circular","1960-01-01",1960,1,17,26,21.5,53
"Gongora","1960-01-01",1960,1,18,27,22.5,22
"Maritza","1960-01-01",1960,1,17,26,21.5,53
"Naranjo Carbonal","1960-01-01",1960,1,22,31,26.5,1.79999995231628
"Pitilla","1960-01-01",1960,1,17,25,21,232.5
"Rancho Harold","1960-01-01",1960,1,18,27,22.5,22
"Rincon 1000","1960-01-01",1960,1,17,27,22,15.6000003814697
"Rincon 1200","1960-01-01",1960,1,14,23,18.5,66.5
"Bosque Humedo","1960-02-01",1960,2,21,31,26,5.19999980926514
"Cacao Arenales","1960-02-01",1960,2,17,26,21.5,51.2999992370605
"Cacao Sendero Circular","1960-02-01",1960,2,17,26,21.5,51.2999992370605
"Gongora","1960-02-01",1960,2,19,28,23.5,26.8999996185303
"Maritza","1960-02-01",1960,2,17,26,21.5,51.2999992370605
"Naranjo Carbonal","1960-02-01",1960,2,22,32,27,5.09999990463257
"Pitilla","1960-02-01",1960,2,17,26,21.5,395.700012207031
"Rancho Harold","1960-02-01",1960,2,19,28,23.5,26.8999996185303
"Rincon 1000","1960-02-01",1960,2,17,27,22,33.2000007629395
"Rincon 1200","1960-02-01",1960,2,13,23,18,88.5
"Bosque Humedo","1960-03-01",1960,3,21,32,26.5,23.1000003814697
"Cacao Arenales","1960-03-01",1960,3,18,27,22.5,42.7000007629395
"Cacao Sendero Circular","1960-03-01",1960,3,18,27,22.5,42.7000007629395
"Gongora","1960-03-01",1960,3,19,28,23.5,28.2000007629395
"Maritza","1960-03-01",1960,3,18,27,22.5,42.7000007629395
"Naranjo Carbonal","1960-03-01",1960,3,22,32,27,6.30000019073486
"Pitilla","1960-03-01",1960,3,18,27,22.5,211.100006103516
"Rancho Harold","1960-03-01",1960,3,19,28,23.5,28.2000007629395
"Rincon 1000","1960-03-01",1960,3,18,28,23,36.5
"Rincon 1200","1960-03-01",1960,3,14,24,19,80.8000030517578
"Bosque Humedo","1960-04-01",1960,4,22,33,27.5,32.9000015258789
"Cacao Arenales","1960-04-01",1960,4,19,28,23.5,45.5
"Cacao Sendero Circular","1960-04-01",1960,4,19,28,23.5,45.5
"Gongora","1960-04-01",1960,4,20,30,25,48
"Maritza","1960-04-01",1960,4,19,28,23.5,45.5
"Naranjo Carbonal","1960-04-01",1960,4,23,33,28,35.7999992370605
